code,sex,readgrp,age1,age2,age3,age4,age5,speed3,speed4,speed5,basmat3,basmat4,basmat5,bassim1,bassim2,bassim3,bassim4,bassim5,basdig1,basdig2,basdig3,basdig4,basdig5,basnum1,basnum2,basnum3,basnum4,basnum5,basread1,basread2,basread3,basread4,basread5,basspel1,basspel2,basspel3,basspel4,basspel5,trog1,trog2,trog3,trog4,trog5,woco1,woco2,woco3,woco4,woco5,bpvs1,bpvs2,bpvs3,bpvs4,bpvs5
4A3DD7D91A50,1,2,59,66,78,90,,,,,5,8,,4,8,11,12,,16,19,21,18,,21,26,28,33,,1,7,14,47,,0,0,3,5,,14,14,17,16,,0,0,8,14,,8,14,16,18,
822ADAA289B6,2,2,55,62,74,86,,,,,5,11,,0,8,10,14,,12,18,20,19,,21,23,35,33,,0,15,51,71,,0,1,9,12,,13,14,16,18,,0,0,13,21,,7,15,13,17,
4815A19B98FC,2,3,109,121,,,,,,,,,,9,8,,,,24,28,,,,38,46,,,,24,36,,,,7,7,,,,15,13,,,,5,11,,,,,16,,,
D88B3ED9C3C1,1,3,108,119,,,,,,,,,,9,10,,,,21,20,,,,35,39,,,,18,31,,,,6,8,,,,13,16,,,,2,14,,,,,16,,,
30FC29EEF104,1,3,119,130,,,,,,,,,,15,15,,,,21,20,,,,50,54,,,,50,61,,,,12,11,,,,19,18,,,,18,22,,,,24,25,,,
7FE0298EDD04,2,3,62,,,,,,,,,,,,,,,,15,,,,,,,,,,6,,,,,0,,,,,,,,,,0,,,,,13,,,,
72BD87BD4B5C,1,3,73,84,,,,,,,,,,4,7,,,,12,16,,,,22,41,,,,7,26,,,,2,8,,,,8,14,,,,1,2,,,,10,16,,,
E07BAEDFC166,1,3,114,,,,,,,,,,,,,,,,,,,,,,,,,,48,,,,,,,,,,14,,,,,13,,,,,,,,,
848CDA1D8A18,2,3,97,110,120,133,,25,27,,7,10,,10,11,12,13,,16,19,16,23,,33,41,47,52,,32,70,78,79,,4,11,14,16,,16,18,15,19,,8,18,19,21,,17,19,20,20,
2E0A75C0E3CC,2,3,101,112,123,136,,23,24,,14,16,,10,11,10,14,,17,19,18,22,,36,41,50,56,,34,49,55,64,,8,9,13,14,,18,16,,19,,11,18,17,26,,18,17,20,20,
6E19573FC6A6,1,3,104,116,127,140,,16,28,,13,21,,9,11,12,14,,19,19,17,19,,42,41,51,51,,30,32,32,45,,5,4,6,5,,17,20,18,19,,5,5,10,13,,18,19,22,22,
2B983D44261E,1,3,96,106,119,132,,24,27,,6,8,,11,13,16,15,,22,24,27,23,,39,43,50,55,,59,76,84,85,,11,14,16,15,,15,18,19,17,,20,24,20,27,,20,21,26,28,
4C2E180F58B4,1,3,100,111,122,136,,25,24,,7,14,,8,9,9,13,,17,19,22,21,,31,37,46,49,,13,32,43,52,,5,6,10,11,,10,9,16,18,,1,6,10,16,,15,20,20,20,
0623EFBE4ABF,1,3,105,116,127,141,,24,28,,6,9,,8,10,9,9,,14,16,18,16,,20,26,31,44,,30,40,45,48,,4,5,9,9,,10,12,14,17,,7,13,15,16,,17,20,21,20,
CCE750896CE9,2,3,94,106,117,,,13,,,5,,,4,9,7,,,19,20,23,,,25,33,43,,,7,12,22,,,3,5,7,,,13,15,16,,,2,0,4,,,,14,15,,
